,Gene Name1,Gene Name2,Gene Name3,Gene Name4,Gene Name5,fisher_log2fc,fisher_pval_adj
chr1_22716887_22721241,Rims1,Rims1,Mir30a,Mir30c-2,Ogfrl1,-0.476102501,0.47982572
chr1_22725032_22728025,Rims1,Rims1,Mir30a,Mir30c-2,Ogfrl1,0.048413865,0.96888046
chr1_22767436_22771688,Rims1,Rims1,Mir30a,Mir30c-2,Ogfrl1,-0.289144188,0.68276939
chr1_22798131_22809955,Rims1,Rims1,Mir30a,Mir30c-2,Ogfrl1,-0.048987214,0.90581356
chr1_23117082_23121080,Mir30a,Mir30c-2,Ogfrl1,Rims1,B3gat2,-0.324788183,0.52924321
chr1_23255168_23258761,Mir30a,Mir30c-2,Ogfrl1,Rims1,B3gat2,-0.325971335,0.72203597
chr1_23764021_23767870,B3gat2,Smap1,Smap1,Sdhaf4,Fam135a,0.433238924,0.61089737
chr1_23832395_23838934,B3gat2,Smap1,Smap1,Sdhaf4,Fam135a,0.121846974,0.92660076
chr1_23932052_23935569,Smap1,Smap1,Sdhaf4,Fam135a,B3gat2,0.413407117,0.672352
chr1_24138949_24140310,Col9a1,Fam135a,Col9a1,Col19a1,Sdhaf4,-0.231822535,0.86269976
chr1_24365467_24369517,Col19a1,Col9a1,Fam135a,Lmbrd1,Lmbrd1,0.172674567,0.84738997
chr1_24451421_24453331,Col19a1,Col9a1,Lmbrd1,Lmbrd1,Fam135a,-0.547193706,0.55793879
chr1_24548610_24552502,Col19a1,Lmbrd1,Lmbrd1,Col9a1,Fam135a,0.939172685,0.24821369
chr1_24557043_24561916,Col19a1,Lmbrd1,Lmbrd1,Col9a1,Fam135a,0.793278635,0.09113051
chr1_24564182_24566048,Col19a1,Lmbrd1,Lmbrd1,Col9a1,Fam135a,0.273310721,0.67322559
chr1_24583943_24590904,Col19a1,Lmbrd1,Lmbrd1,Col9a1,Adgrb3,0.212805077,0.44687259
chr1_24619961_24622107,Col19a1,Lmbrd1,Lmbrd1,Col9a1,Adgrb3,-0.473261982,0.61468412
chr1_24672098_24678855,Lmbrd1,Lmbrd1,Col19a1,Adgrb3,Col9a1,-0.37333101,0.41601683
chr1_25056042_25060683,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,0.009810681,1
chr1_25080892_25087938,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,0.046174135,0.97904552
chr1_25157984_25164018,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,0.032141432,0.99841223
chr1_25173107_25179701,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,-0.211445838,0.74578666
chr1_25187146_25194269,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,-0.064353742,0.96597469
chr1_25198710_25205890,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,0.154456273,0.8064533
chr1_25217471_25219672,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,-0.739214361,0.24821369
chr1_25226969_25229490,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,Col9a1,-0.027536722,1
chr1_25376323_25378122,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,,-0.224480137,0.77032587
chr1_25575079_25579879,Adgrb3,Lmbrd1,Lmbrd1,Col19a1,,-0.230702192,0.46094966
chr1_25607602_25617416,Adgrb3,Lmbrd1,Lmbrd1,,,0.050467461,0.92371691
chr1_25618430_25633163,Adgrb3,Lmbrd1,Lmbrd1,,,-0.064212494,0.85154656
chr1_25642481_25647724,Adgrb3,Lmbrd1,Lmbrd1,,,-0.044907529,0.9625915
chr1_25694634_25701211,Adgrb3,Lmbrd1,Lmbrd1,,,-0.097911619,0.83015633
chr1_25789595_25798767,Adgrb3,,,,,-0.252833247,0.40055642
chr1_25801327_25813171,Adgrb3,,,,,0.13403739,0.672352
chr1_25822656_25836190,Adgrb3,,,,,0.120008744,0.65658562
chr1_26280893_26284282,Adgrb3,,,,,-0.22131443,0.66437216
chr1_27297217_27300514,,,,,,-0.485501915,0.65023131
chr1_27628746_27629827,,,,,,-0.324515402,0.80779079
chr1_28347511_28349230,,,,,,-1.470974326,0.177472
chr1_28804696_28811324,Mir6342,,,,,-0.194299221,0.89790607
chr1_30135526_30139049,Phf3,Mir6342,Ptp4a1,,,0.233651131,0.86048568
chr1_30416761_30418330,Phf3,Ptp4a1,Lgsn,Pih1d3,Mir6342,0.104997784,0.96923314
chr1_30582999_30585220,Phf3,Ptp4a1,Lgsn,Pih1d3,,-0.482717127,0.43594799
chr1_30589406_30591616,Phf3,Ptp4a1,Lgsn,Pih1d3,,-0.099371769,1
chr1_30947716_30951469,Ptp4a1,Phf3,Lgsn,Pih1d3,,-0.568081737,0.56219667
chr1_32171726_32176730,Khdrbs2,Pih1d3,Lgsn,,,-0.114229441,0.766387
chr1_32212848_32216198,Khdrbs2,Pih1d3,,,,-0.020250881,1
chr1_32221594_32225562,Khdrbs2,Pih1d3,,,,-0.039966065,0.99317927
chr1_32239787_32249104,Khdrbs2,,,,,-0.163096324,0.73635487
chr1_32292676_32295531,Khdrbs2,,,,,-0.439862758,0.38979238
chr1_32337406_32341952,Khdrbs2,,,,,-0.774121702,0.09379671
chr1_32344571_32349541,Khdrbs2,,,,,-0.281940877,0.61614204
chr1_32442648_32446934,Khdrbs2,,,,,-0.294018716,0.59818111
chr1_32461367_32464690,Khdrbs2,Prim2,,,,-0.748907566,0.05662894
chr1_32551216_32555692,Khdrbs2,Prim2,,,,0.014501202,1
chr1_32631217_32636701,Khdrbs2,Prim2,,,,-0.138268545,0.88564452
chr1_33123311_33127285,Prim2,Khdrbs2,Rab23,Rab23,Bag2,-0.581537902,0.58618624
chr1_33270128_33272012,Prim2,Rab23,Rab23,Bag2,Zfp451,-0.190800741,0.91919281
chr1_33670564_33673769,Prim2,Rab23,Rab23,Bag2,Zfp451,-0.330653727,0.68276939
chr1_33739589_33745705,Rab23,Zfp451,Zfp451,Prim2,Bend6,0.076413259,0.9625915
chr1_33751391_33760379,Bag2,Zfp451,Rab23,Zfp451,Prim2,-0.227703556,0.512465
chr1_33904628_33907092,Bend6,Dst,Zfp451,Dst,Bag2,0.202157319,0.76803385
chr1_33945566_33947918,Dst,Bend6,Bend6,Dst,Zfp451,-0.10042955,0.97067185
chr1_33959596_33960828,Dst,Dst,Bend6,Bend6,Zfp451,-0.50322789,0.65776975
chr1_34004074_34008418,Dst,Dst,Bend6,Bend6,Mir6896,-0.170418456,0.85787144
chr1_34039278_34041259,Dst,Mir6896,Dst,Bend6,Bend6,-0.062465526,1
chr1_34097731_34098372,Dst,Mir6896,Dst,Bend6,Bend6,-1.198747635,0.27347872
chr1_34408827_34410323,Mir5103,Ccdc115,Imp4,Ptpn18,Prss39,-0.536219358,0.4952822
chr1_34433822_34435909,Mir5103,Ccdc115,Imp4,Ptpn18,Prss39,-0.037721485,0.97483815
chr1_34778425_34780514,Arhgef4,Fam168b,Plekhb2,AA619741,Amer3,-0.860324085,0.31755999
chr1_34843098_34843872,Fam168b,Plekhb2,Arhgef4,AA619741,Amer3,-0.277193815,0.8064533
chr1_34847971_34852468,Plekhb2,Fam168b,Arhgef4,AA619741,Amer3,-0.146600962,0.93799563
chr1_35196228_35204178,Plekhb2,Plekhb2,Fam168b,Arhgef4,AA619741,-0.106944598,0.92777328
chr1_35520289_35524385,Hs6st1,Uggt1,Mir6897,Plekhb2,Plekhb2,1.312105894,0.0640448
chr1_35848492_35850329,Hs6st1,Uggt1,Mir6897,Neurl3,Arid5a,0.919180393,0.3274873
chr1_36244253_36245033,Uggt1,Neurl3,Arid5a,Kansl3,Mir6897,-0.51981777,0.50166416
chr1_36474895_36475930,Cnnm4,Lman2l,Cnnm3,Fer1l5,Ankrd23,0.351150334,0.55031856
chr1_36511161_36511830,Cnnm3,Cnnm4,Ankrd23,Ankrd39,Sema4c,0.087689273,0.97736799
chr1_36784142_36785703,Zap70,Tmem131,Actr1b,Cox5b,Fam178b,0.518693507,0.3496091
chr1_36937116_36941263,Tmem131,Zap70,Actr1b,Cox5b,Fam178b,-0.135890007,0.81388631
chr1_37027718_37029278,Tmem131,Cnga3,Cnga3,Zap70,Inpp4a,-0.012088256,1
chr1_37077093_37078251,Tmem131,Cnga3,Cnga3,Inpp4a,Inpp4a,0.009521459,1
chr1_37097283_37098048,Cnga3,Cnga3,Tmem131,Inpp4a,Inpp4a,-0.030267537,1
chr1_37111241_37112066,Cnga3,Cnga3,Tmem131,Inpp4a,Inpp4a,-0.984536648,0.2513342
chr1_37300652_37302856,Inpp4a,Cnga3,Inpp4a,Coa5,Unc50,0.225285113,0.71303755
chr1_37669754_37674245,Tsga10,Tsga10,Tsga10,Mgat4a,Mgat4a,-0.073529713,0.96007926
chr1_37687758_37698116,Tsga10,Tsga10,Tsga10,Mgat4a,Mgat4a,-0.112174101,0.89610075
chr1_37712620_37732815,Tsga10,Tsga10,Tsga10,Lipt1,Mitd1,-0.240254208,0.30049227
chr1_37862508_37867599,Tsga10,Lipt1,Tsga10,Mitd1,Mrpl30,0.111277059,0.81583981
chr1_38169044_38170311,Aff3,Rev1,Eif5b,Txndc9,Lyg1,0.149681702,0.90976373
chr1_38236857_38241024,Aff3,Rev1,Eif5b,Txndc9,Lyg1,-0.123828292,0.90135642
chr1_38267527_38269139,Aff3,Rev1,Eif5b,Txndc9,Lyg1,0.228635237,0.81478682
chr1_38318333_38320271,Aff3,Rev1,Eif5b,Txndc9,Lyg1,0.032548908,1
chr1_38392989_38393975,Aff3,Rev1,Eif5b,Txndc9,Lonrf2,-0.712706149,0.57217221
chr1_38437384_38439892,Aff3,Rev1,Lonrf2,Eif5b,Chst10,0.004726587,1
chr1_38445268_38446740,Aff3,Rev1,Lonrf2,Eif5b,Chst10,-0.437277317,0.61614204
chr1_38453517_38455585,Aff3,Rev1,Lonrf2,Eif5b,Chst10,0.093249425,0.95698702
chr1_38625689_38626321,Aff3,Lonrf2,Chst10,Nms,Pdcl3,0.404723078,0.68747441
chr1_38682751_38684246,Aff3,Lonrf2,Chst10,Nms,Pdcl3,-0.071009032,0.98460279
chr1_38895728_38898581,Chst10,Nms,Lonrf2,Pdcl3,Aff3,0.20266895,0.76566967
chr1_39009590_39013415,Pdcl3,Nms,Chst10,Mir6349,Npas2,-0.227702349,0.81583981
chr1_39102315_39103665,Mir6349,Npas2,Pdcl3,Nms,Chst10,-0.384721041,0.6400743
chr1_39177813_39178655,Mir6349,Npas2,Pdcl3,Rpl31,Tbc1d8,-0.423192084,0.62040083
chr1_39190557_39191860,Npas2,Mir6349,Rpl31,Tbc1d8,Pdcl3,-0.063424237,0.9859621
chr1_39192819_39197514,Npas2,Mir6349,Rpl31,Tbc1d8,Pdcl3,0.034444515,0.95823583
chr1_39203727_39207544,Npas2,Mir6349,Rpl31,Tbc1d8,Pdcl3,0.171486214,0.82840944
chr1_39215239_39215642,Npas2,Mir6349,Rpl31,Tbc1d8,Pdcl3,-0.402623355,0.72203597
chr1_39306742_39307901,Npas2,Rpl31,Tbc1d8,Mir6349,Cnot11,0.149859816,0.91169526
chr1_39364326_39367872,Rpl31,Npas2,Tbc1d8,Cnot11,Mir6349,-0.327030033,0.59856848
chr1_39634444_39638449,Creg2,Rfx8,Rnf149,Snord89,Cnot11,-0.940298736,0.15234747
chr1_39661674_39663643,Rfx8,Creg2,Rnf149,Snord89,Cnot11,0.103391066,0.96892428
chr1_39676371_39677243,Rfx8,Creg2,Rnf149,Snord89,Cnot11,-0.880298793,0.17822152
chr1_39701703_39703607,Rfx8,Creg2,Rnf149,Snord89,Cnot11,-0.204939634,0.915613
chr1_39898852_39902515,Map4k4,Rfx8,Il1r2,Creg2,Rnf149,-0.376393646,0.71789821
chr1_40025016_40026326,Map4k4,Il1r2,Il1r1,Il1r1,Il1rl2,0.07725434,0.97448145
chr1_40083933_40084671,Il1r2,Map4k4,Il1r1,Il1r1,Il1rl2,1.107118845,0.17923707
chr1_40768407_40769415,Slc9a2,Mfsd9,Tmem182,Slc9a4,Il18rap,0.353117734,0.74200713
chr1_40950506_40955134,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.351084024,0.68555916
chr1_41028123_41030321,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.016341118,1
chr1_41033383_41038212,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.133186787,0.89437788
chr1_41119405_41125967,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.696098208,0.00169433
chr1_41150335_41159059,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.465247601,0.0116674
chr1_41267524_41278306,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.501550019,0.0507808
chr1_41426863_41430661,Tmem182,Mfsd9,Slc9a2,Slc9a4,Il18rap,-0.724315941,0.01412181
chr1_41671119_41675677,Tmem182,Mfsd9,Slc9a2,Pantr1,,-1.110503078,0.00077442
chr1_41742146_41753918,Tmem182,Pantr1,Pou3f3,Mfsd9,Pantr2,-0.684844196,4.34E-13
chr1_41758271_41765318,Pantr1,Tmem182,Pou3f3,Pantr2,Mfsd9,-0.990204155,1.75E-10
chr1_41805345_41831227,Pantr1,Pou3f3,Pantr2,Dalir,Tmem182,-0.488637984,3.93E-21
chr1_41884309_41893205,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.398215383,6.37E-06
chr1_42229851_42234776,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.601179481,0.00319437
chr1_42241347_42246008,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.332743883,0.28988717
chr1_42252837_42264385,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.036099121,0.82964047
chr1_42275166_42281622,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.022232536,1
chr1_42484794_42486131,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.746828139,0.103632
chr1_42537955_42544514,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,0.195243627,0.34879038
chr1_42675846_42694456,Pantr1,Pou3f3,Pantr2,Dalir,Mrps9,-0.12107189,0.21281225
chr1_42698765_42714301,Pou3f3,Pantr1,Dalir,Mrps9,Gpr45,-0.115960777,0.42456863
chr1_42850485_42852473,Mrps9,Dalir,Gpr45,Pantr2,Pou3f3,0.209170729,0.77182923
chr1_43004103_43006810,Gpr45,Tgfbrap1,AI597479,Mrps9,Fhl2,0.061041351,0.96512939
chr1_43429474_43430123,Nck2,Fhl2,Fhl2,AI597479,Uxs1,0.021294327,1
chr1_43828113_43828715,Uxs1,Tpp2,Mettl21c,Nck2,Tex30,0.677487493,0.52520663
chr1_43866710_43870942,Uxs1,Tpp2,Mettl21c,Tex30,Kdelc1,-0.777170599,0.14266763
chr1_43914548_43914951,Tpp2,Uxs1,Mettl21c,Tex30,Kdelc1,-1.20733881,0.36001515
chr1_43932421_43933533,Tpp2,Mettl21c,Uxs1,Tex30,Kdelc1,-0.50871253,0.5333211
chr1_44145572_44150210,Ercc5,Bivm,Kdelc1,Tex30,Mettl21e,-0.141427606,0.90104407
chr1_44197800_44199717,Mettl21e,Ercc5,Bivm,Kdelc1,Tex30,0.017881889,1
chr1_44592671_44599223,Gulp1,Mettl21e,Ercc5,Bivm,Kdelc1,-0.116191342,0.96892428
chr1_45486231_45489830,Col5a2,Col3a1,Wdr75,Slc40a1,Stk-ps2,-0.7907601,0.35540491
chr1_46841402_46845153,Slc39a10,Dnah7c,Dnah7b,Mir6350,Stk-ps2,-0.623003304,0.3691059
chr1_46848861_46854692,Slc39a10,Dnah7c,Dnah7b,Mir6350,Stk-ps2,0.146153465,0.66361588
chr1_46962157_46966892,Slc39a10,Dnah7c,Mir6350,Dnah7b,Stk-ps2,-0.623003304,0.3691059
chr1_47100885_47105135,Slc39a10,Dnah7c,Mir6350,Dnah7b,,-0.257165611,0.74831631
chr1_47191115_47193493,Mir6350,Slc39a10,Dnah7c,Dnah7b,,0.461488426,0.51481697
chr1_50923148_50933313,Tmeff2,Cavin2,Nabp1,Myo1b,,0.051501211,0.92724919
chr1_50943375_50948711,Tmeff2,Cavin2,Nabp1,Myo1b,,0.050674703,0.95634381
chr1_50955954_50962928,Tmeff2,Cavin2,Nabp1,Myo1b,,0.165802538,0.75890429
chr1_50967326_50981847,Tmeff2,Cavin2,Nabp1,Myo1b,,0.081771106,0.77536216
chr1_50991874_50994029,Tmeff2,Cavin2,Nabp1,Myo1b,Stat4,-0.227702349,0.81583981
chr1_50996052_51002731,Tmeff2,Cavin2,Nabp1,Myo1b,Stat4,0.275975257,0.58265644
chr1_51005897_51009795,Tmeff2,Cavin2,Nabp1,Myo1b,Stat4,-0.191893861,0.74578666
chr1_51026938_51034149,Tmeff2,Cavin2,Nabp1,Myo1b,Stat4,0.226972163,0.56832452
